id,latitude,longitude,start,end,tot_start,tot_end
433,44.472900,-116.917000,16:10:30.8,18:48:34.7,17:25:24.9,17:27:34.3
853,36.464200,-87.379700,16:57:01.3,19:52:32.4,18:25:41.9,18:27:48.0
912,38.881700,-92.402000,16:45:33.3,19:40:11.1,18:12:13.6,18:14:55.4
947,36.464200,-87.379700,16:57:01.3,19:52:32.4,18:25:41.9,18:27:48.0
1033,44.784100,-123.338000,16:05:02.5,18:37:16.5,17:16:46.9,17:18:48.3
1037,38.881700,-92.402000,16:45:33.3,19:40:11.1,18:12:13.6,18:14:55.4
1051,38.881700,-92.402000,16:45:33.3,19:40:11.1,18:12:13.6,18:14:55.4
1397,33.993700,-81.019900,17:13:09.8,20:06:20.4,18:41:51.1,18:44:23.0
1531,35.252100,-83.187100,17:07:06.0,20:01:03.0,18:35:50.9,18:38:02.0
1532,35.252100,-83.187100,17:07:06.0,20:01:03.0,18:35:50.9,18:38:02.0
1553,36.186600,-86.785200,16:58:29.2,19:53:57.7,18:27:19.0,18:29:21.8
1564,40.817600,-96.711400,16:37:12.2,19:29:41.7,18:02:26.1,18:03:53.8
1607,32.776600,-79.930900,17:16:58.4,20:09:58.8,18:46:21.5,18:47:58.2
1608,32.776600,-79.930900,17:16:58.4,20:09:58.8,18:46:21.5,18:47:58.2
5347,43.741500,-110.587000,16:17:06.4,19:00:38.0,17:35:14.6,17:37:29.0
5349,43.585700,-110.826000,16:16:42.8,19:00:16.5,17:34:45.9,17:37:07.4
5355,43.689200,-114.353000,16:12:38.4,18:53:33.4,17:29:33.9,17:30:47.3
5385,40.838700,-96.767600,16:37:06.2,19:29:33.9,18:02:19.3,18:03:45.4
5396,38.556800,-90.307600,16:49:50.0,19:44:16.1,18:17:28.5,18:18:56.9
5521,35.632600,-83.943100,17:05:06.2,19:59:16.4,18:33:48.7,18:35:57.0
5534,43.179100,-111.038000,16:16:12.5,19:00:06.2,17:35:11.4,17:35:53.8
5535,43.808800,-110.698000,16:17:00.7,19:00:23.0,17:35:06.8,17:37:15.2
5536,43.536400,-110.741000,16:16:47.3,19:00:27.9,17:34:54.6,17:37:15.3
5537,43.704600,-110.731000,16:16:54.3,19:00:23.0,17:34:57.6,17:37:16.4
5538,43.479800,-110.762000,16:16:43.7,19:00:27.5,17:34:53.9,17:37:11.1
5539,43.466600,-112.034000,16:15:10.1,18:58:02.7,17:33:01.5,17:34:46.8
5578,35.998300,-84.264800,17:04:06.1,19:58:09.1,18:33:17.8,18:34:08.0
5624,43.497800,-110.955000,16:16:30.0,19:00:04.9,17:34:35.0,17:36:51.0
5628,43.205200,-110.411000,16:17:00.4,19:01:17.5,17:35:45.2,17:37:28.5
5727,43.652300,-108.207000,16:20:06.8,19:05:10.3,17:39:59.7,17:40:52.9
5761,44.883100,-122.992000,16:05:24.4,18:37:52.2,17:17:17.7,17:19:18.0
5762,44.726200,-122.135000,16:05:57.3,18:39:19.3,17:18:17.1,17:20:20.4
5763,44.433200,-121.913000,16:05:52.7,18:39:41.4,17:18:39.7,17:20:12.1
5770,42.843800,-106.304000,16:22:18.8,19:09:25.7,17:42:39.0,17:45:07.2
5785,40.842100,-96.682400,16:37:15.4,19:29:42.8,18:02:37.2,18:03:47.6
5789,40.791800,-96.682500,16:37:15.3,19:29:47.0,18:02:27.2,18:04:01.9
5798,40.823000,-96.712600,16:37:12.1,19:29:41.1,18:02:26.9,18:03:52.3
5800,40.857100,-96.682100,16:37:15.4,19:29:41.6,18:02:41.7,18:03:42.0
6099,35.930800,-85.475000,17:01:30.6,19:56:27.0,18:30:01.7,18:32:42.6
6117,43.462900,-110.762000,16:16:43.1,19:00:28.1,17:34:54.5,17:37:10.3
6118,43.530500,-110.747000,16:16:46.7,19:00:27.4,17:34:54.1,17:37:14.5
6119,43.814300,-111.087000,16:16:32.1,18:59:38.9,17:34:24.9,17:36:38.9
6121,38.638800,-90.286900,16:49:50.6,19:44:10.2,18:18:03.7,18:18:08.8
6123,43.485500,-110.763000,16:16:43.9,19:00:27.2,17:34:53.6,17:37:11.2
6124,44.675000,-124.067000,16:04:22.7,18:36:01.9,17:15:51.7,17:17:44.5
6125,44.674900,-124.067000,16:04:22.7,18:36:01.9,17:15:51.7,17:17:44.5
6126,44.566000,-123.276000,16:04:53.4,18:37:21.3,17:16:51.9,17:18:36.0
6127,44.568000,-123.276000,16:04:53.5,18:37:21.3,17:16:51.9,17:18:36.2
6130,44.622500,-124.045000,16:04:20.7,18:36:03.6,17:15:54.3,17:17:41.1
6131,44.622900,-124.057000,16:04:20.2,18:36:02.4,17:15:53.4,17:17:40.2
6132,44.623000,-124.058000,16:04:20.2,18:36:02.3,17:15:53.4,17:17:40.2
6140,43.160900,-111.023000,16:16:12.9,19:00:08.6,17:35:22.6,17:35:45.3
6143,43.762000,-111.073000,16:16:31.2,18:59:42.3,17:34:23.9,17:36:42.0
6396,39.473200,-94.573100,16:41:14.5,19:35:27.2,18:07:17.0,18:09:50.1
6587,43.655500,-110.717000,16:16:53.5,19:00:26.4,17:34:57.6,17:37:18.7
6694,43.909100,-114.795000,16:12:18.5,18:52:38.9,17:28:33.3,17:30:31.1
6725,44.219900,-114.937000,16:12:23.0,18:52:16.6,17:28:17.4,17:30:32.0
6742,43.640200,-108.212000,16:20:06.0,19:05:10.3,17:39:54.6,17:40:57.0
6768,38.614600,-90.283900,16:49:51.5,19:44:12.8,18:17:48.6,18:18:35.0
6784,35.017300,-83.728600,17:06:06.3,20:00:40.5,18:34:54.3,18:37:30.1
6905,35.410100,-83.362600,17:06:34.4,20:00:30.9,18:35:23.5,18:37:19.7
6952,44.957000,-124.022000,16:04:40.7,18:36:08.8,17:16:04.2,17:18:01.2
7010,43.504300,-112.055000,16:15:10.1,18:57:59.2,17:32:55.9,17:34:48.9
7011,43.830500,-112.196000,16:15:12.7,18:57:33.2,17:32:32.0,17:34:51.7
7012,43.610200,-111.700000,16:15:39.7,18:58:36.3,17:33:21.4,17:35:36.4
7013,43.506400,-112.889000,16:14:11.0,18:56:24.0,17:31:51.1,17:33:08.8
7015,43.497300,-112.044000,16:15:10.6,18:58:00.6,17:32:57.5,17:34:49.4
7020,43.878300,-111.362000,16:16:14.5,18:59:05.7,17:33:59.3,17:36:10.6
7021,43.504800,-110.773000,16:16:43.8,19:00:25.4,17:34:52.1,17:37:10.9
7171,37.255400,-88.754700,16:53:38.1,19:48:58.7,18:21:37.0,18:24:12.5
7247,44.549900,-117.422000,16:10:04.4,18:47:38.9,17:24:43.5,17:26:50.0
7248,44.496500,-117.368000,16:10:05.0,18:47:45.4,17:24:45.4,17:26:55.0
7249,44.444900,-117.325000,16:10:05.0,18:47:50.8,17:24:47.1,17:26:58.3
7250,44.008800,-116.942000,16:10:07.4,18:48:38.4,17:25:34.0,17:26:58.8
7251,44.574800,-118.493000,16:09:03.3,18:45:43.3,17:23:09.9,17:25:18.5
7260,44.392300,-121.194000,16:06:27.1,18:40:56.7,17:19:35.7,17:21:09.2
7343,32.816700,-79.881500,17:17:02.4,20:09:58.5,18:46:14.4,18:48:09.0
7569,35.373700,-83.225000,17:06:54.6,20:00:46.7,18:35:47.0,18:37:35.5
7570,35.348700,-83.208600,17:06:58.1,20:00:50.8,18:35:48.9,18:37:41.8
7633,34.849900,-82.814900,17:08:17.5,20:02:18.0,18:36:58.6,18:39:34.7
7802,44.885100,-122.995000,16:05:24.4,18:37:51.9,17:17:17.6,17:19:17.8
7803,44.565500,-123.279000,16:04:53.2,18:37:21.0,17:16:51.8,17:18:35.7
7813,45.007300,-124.009000,16:04:44.1,18:36:10.5,17:16:09.1,17:18:02.3
7814,45.197400,-123.963000,16:04:57.2,18:36:16.6,17:16:39.0,17:17:55.0
7818,45.200800,-123.200000,16:05:32.7,18:37:32.8,17:17:42.6,17:18:46.1
7819,45.201200,-123.201000,16:05:32.6,18:37:32.7,17:17:42.6,17:18:46.0
7820,44.982700,-122.995000,16:05:29.9,18:37:52.4,17:17:24.9,17:19:17.9
7821,45.055500,-123.493000,16:05:10.6,18:37:02.6,17:16:53.5,17:18:39.3
7822,44.840600,-123.008000,16:05:21.3,18:37:50.3,17:17:14.2,17:19:15.9
7823,44.667700,-123.057000,16:05:09.3,18:37:44.4,17:17:06.1,17:19:03.1
7975,39.099700,-94.578600,16:41:18.4,19:35:58.9,18:08:34.8,18:09:10.4
7985,44.558400,-122.829000,16:05:14.3,18:38:07.1,17:17:24.9,17:19:11.6
8013,34.000400,-81.000100,17:13:12.0,20:06:21.3,18:41:53.5,18:44:24.0
8015,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8016,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8017,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8018,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8019,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8020,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8021,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8022,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8023,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8024,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8025,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8026,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8027,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8028,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8029,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8030,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8031,34.684300,-82.812600,17:08:27.0,20:02:35.9,18:37:12.0,18:39:51.6
8047,43.620200,-110.737000,16:16:50.7,19:00:25.4,17:34:54.9,17:37:16.8
8120,38.958100,-92.356600,16:45:37.3,19:40:08.7,18:12:16.0,18:14:55.0
8200,39.768600,-94.846600,16:40:40.8,19:34:32.0,18:06:24.6,18:09:04.9
8338,39.091100,-94.415500,16:41:37.1,19:36:17.5,18:08:35.8,18:09:50.8
8340,38.576700,-92.173500,16:46:06.1,19:41:03.2,18:13:05.8,18:15:36.7
8428,42.831000,-108.730000,16:18:58.9,19:04:46.5,17:38:57.0,17:40:07.3
8429,43.024400,-108.381000,16:19:32.6,19:05:18.5,17:39:01.2,17:41:16.4
8475,35.435100,-83.360200,17:06:33.5,20:00:28.4,18:35:24.9,18:37:14.5
8589,35.600700,-83.508800,17:06:05.3,19:59:57.8,18:35:10.1,18:36:25.0
8590,35.600700,-83.508800,17:06:05.3,19:59:57.8,18:35:10.1,18:36:25.0
8633,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8634,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8635,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8636,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8637,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8638,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8639,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8640,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8641,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8642,43.684000,-114.333000,16:12:39.5,18:53:35.7,17:29:36.4,17:30:48.5
8649,39.768600,-94.846600,16:40:40.8,19:34:32.0,18:06:24.6,18:09:04.9
8650,44.363100,-121.147000,16:06:28.0,18:41:01.7,17:19:42.2,17:21:08.4
8651,34.000700,-81.034800,17:13:07.3,20:06:18.4,18:41:48.7,18:44:20.6
8690,43.840200,-110.506000,16:17:16.2,19:00:43.5,17:35:30.8,17:37:30.1
8757,36.547900,-85.500600,17:01:00.1,19:55:20.2,18:29:54.6,18:31:02.0
